neighbourhood_group,host_size_category,listing_count,avg_price
Alenquer,Commercial Host,15,1619.33
Alenquer,Professional Host,15,1081.11
Alenquer,Single Host,34,310.67
Alenquer,Small Host,52,227.46
Amadora,Single Host,117,95.29
Amadora,Small Host,75,63.58
Amadora,Professional Host,45,62.72
Amadora,Commercial Host,33,57.97
Arruda Dos Vinhos,Single Host,2,209.0
Arruda Dos Vinhos,Small Host,10,96.11
Azambuja,Commercial Host,8,2104.5
Azambuja,Single Host,7,182.83
Azambuja,Small Host,3,74.0
Cadaval,Single Host,42,181.42
Cadaval,Small Host,21,132.13
Cadaval,Professional Host,12,128.67
Cascais,Professional Host,523,445.08
Cascais,Commercial Host,299,384.46
Cascais,Small Host,743,230.12
Cascais,Single Host,872,175.9
Lisboa,Commercial Host,4221,428.66
Lisboa,Professional Host,5007,268.45
Lisboa,Single Host,3723,208.38
Lisboa,Small Host,4477,149.55
Loures,Single Host,111,139.98
Loures,Commercial Host,25,137.73
Loures,Professional Host,50,87.83
Loures,Small Host,119,83.09
Lourinh,Commercial Host,102,969.84
Lourinh,Professional Host,155,188.27
Lourinh,Single Host,188,176.38
Lourinh,Small Host,128,163.25
Mafra,Single Host,434,194.73
Mafra,Professional Host,371,182.68
Mafra,Commercial Host,114,160.25
Mafra,Small Host,416,139.93
Odivelas,Single Host,68,125.27
Odivelas,Professional Host,41,92.91
Odivelas,Small Host,56,74.35
Oeiras,Commercial Host,54,134.61
Oeiras,Single Host,236,123.29
Oeiras,Small Host,141,122.9
Oeiras,Professional Host,93,100.69
Sintra,Commercial Host,122,496.59
Sintra,Professional Host,458,276.42
Sintra,Single Host,545,195.96
Sintra,Small Host,555,161.6
Sobral De Monte Agrao,Single Host,6,269.6
Sobral De Monte Agrao,Commercial Host,4,145.25
Sobral De Monte Agrao,Small Host,17,87.58
Torres Vedras,Commercial Host,58,293.18
Torres Vedras,Small Host,131,148.82
Torres Vedras,Single Host,147,139.24
Torres Vedras,Professional Host,70,138.98
Vila Franca De Xira,Single Host,30,147.14
Vila Franca De Xira,Small Host,27,138.13
Vila Franca De Xira,Professional Host,21,75.0
